x1,y1,x2,y2
996,569,2,535
2,535,999,538
999,538,296,957
296,957,102,199
102,199,328,970
328,970,69,249
69,249,637,982
637,982,952,285
952,285,11,401
11,401,992,407
992,407,26,658
26,658,968,679
968,679,23,649
23,649,774,919
774,919,768,78
768,78,376,985
376,985,262,61
262,61,179,884
179,884,288,48
288,48,308,962
308,962,62,260
62,260,987,385
987,385,519,1000
519,1000,19,364
19,364,453,998
453,998,1000,507
1000,507,80,771
80,771,961,696
961,696,3,554
3,554,812,892
812,892,123,829
123,829,836,871
836,871,199,102
199,102,225,918
225,918,999,457
999,457,12,394
12,394,991,404
991,404,51,282
51,282,974,340
974,340,379,986
379,986,794,96
794,96,690,963
690,963,758,72
758,72,744,937
744,937,34,682
34,682,963,690
963,690,28,664
28,664,867,161
867,161,241,928
241,928,222,85
222,85,541,999
541,999,29,334
29,334,957,296
957,296,655,976
655,976,741,62
741,62,819,886
819,886,167,128
167,128,222,916
222,916,194,105
194,105,177,882
177,882,936,747
936,747,109,812
109,812,949,722
949,722,59,736
59,736,847,861
847,861,207,96
207,96,529,1000
529,1000,886,182
886,182,12,607
12,607,929,243
929,243,679,968
679,968,727,55
727,55,652,977
652,977,956,293
956,293,33,322
33,322,1000,504
1000,504,450,998
450,998,14,385
14,385,984,373
984,373,92,212
92,212,1000,522
1000,522,1,516
1,516,994,419
994,419,30,670
30,670,890,814
890,814,163,869
163,869,192,107
192,107,147,854
147,854,254,65
254,65,364,982
364,982,130,165
130,165,219,914
219,914,998,453
998,453,479,1000
479,1000,1000,516
1000,516,1,513
1,513,993,416
993,416,7,419
7,419,971,670
971,670,107,192
107,192,986,619
986,619,1,522
1,522,588,993
588,993,892,189
892,189,14,616
14,616,997,557
997,557,249,932
249,932,999,541
999,541,4,557
4,557,858,151
858,151,241,928
241,928,1000,522
1000,522,96,794
96,794,776,918
776,918,829,123
829,123,187,890
187,890,907,792
907,792,113,817
113,817,867,840
867,840,45,708
45,708,954,711
954,711,6,576
6,576,995,573
995,573,419,994
419,994,80,230
80,230,975,343
975,343,16,376
16,376,939,260
939,260,1,516
1,516,878,172
878,172,782,914
782,914,87,782
87,782,296,44
296,44,316,965
316,965,65,254
65,254,986,382
986,382,13,391
13,391,990,401
990,401,1,475
1,475,968,679
968,679,2,538
2,538,976,655
976,655,10,404
10,404,1000,532
1000,532,488,1000
488,1000,204,98
204,98,296,957
296,957,59,265
59,265,628,984
628,984,725,54
725,54,444,997
444,997,867,161
867,161,1,510
1,510,993,413
993,413,9,407
9,407,447,998
447,998,1001,501
1001,501,65,747
65,747,946,727
946,727,85,779
85,779,812,892
812,892,62,741
62,741,834,873
834,873,809,107
809,107,444,997
444,997,128,167
128,167,212,909
212,909,998,450
998,450,47,711
47,711,959,699
959,699,42,699
42,699,995,428
995,428,33,679
33,679,964,687
964,687,154,140
154,140,992,594
992,594,254,936
254,936,276,54
276,54,382,986
382,986,268,58
268,58,302,959
302,959,931,755
931,755,123,829
123,829,768,923
768,923,826,121
826,121,569,996
569,996,940,262
940,262,544,999
544,999,755,70
755,70,687,964
687,964,961,305
961,305,664,973
664,973,37,687
37,687,845,863
845,863,192,894
192,894,836,130
836,130,782,914
782,914,7,579
7,579,897,804
897,804,699,42
699,42,817,888
817,888,83,776
83,776,293,45
293,45,70,755
70,755,741,939
741,939,130,836
130,836,804,897
804,897,167,873
167,873,260,62
260,62,69,752
69,752,943,733
943,733,177,119
177,119,394,989
394,989,807,105
807,105,829,878
829,878,752,69
752,69,682,967
682,967,918,225
918,225,1,513
1,513,1000,472
1000,472,136,158
136,158,991,597
991,597,457,999
457,999,739,61
739,61,901,799
901,799,175,121
175,121,145,852
145,852,251,67
251,67,67,750
67,750,747,936
747,936,932,249
932,249,56,271
56,271,290,954
290,954,49,285
49,285,997,441
997,441,1,526
1,526,979,646
979,646,75,238
75,238,977,349
977,349,15,382
15,382,983,370
983,370,94,209
94,209,482,1000
482,1000,1000,529
1000,529,293,956
293,956,1000,513
1000,513,475,1000
475,1000,21,358
21,358,972,334
972,334,82,227
82,227,346,976
346,976,72,243
72,243,986,379
986,379,516,1000
516,1000,850,143
850,143,204,903
204,903,100,202
100,202,544,999
544,999,894,192
894,192,5,435
5,435,996,432
996,432,11,603
11,603,884,179
884,179,789,909
789,909,62,741
62,741,1000,485
1000,485,19,637
19,637,994,579
994,579,494,1000
494,1000,134,161
134,161,370,983
370,983,763,75
763,75,352,978
352,978,87,219
87,219,453,998
453,998,736,59
736,59,664,973
664,973,912,217
912,217,1,475
