p1,p2,R,G,B
25,95,0,0,0
13,25,0,0,0
71,13,0,0,0
80,71,0,0,0
5,80,0,0,0
37,5,0,0,0
10,37,0,0,0
78,10,0,0,0
88,78,0,0,0
54,88,0,0,0
71,54,0,0,0
59,71,0,0,0
38,59,0,0,0
74,38,0,0,0
63,74,0,0,0
49,63,0,0,0
78,49,0,0,0
94,78,0,0,0
9,94,0,0,0
22,9,0,0,0
37,22,0,0,0
92,37,0,0,0
13,92,0,0,0
32,13,0,0,0
19,32,0,0,0
5,19,0,0,0
84,5,0,0,0
27,84,0,0,0
43,27,0,0,0
56,43,0,0,0
68,56,0,0,0
79,68,0,0,0
46,79,0,0,0
59,46,0,0,0
95,59,0,0,0
82,95,0,0,0
74,82,0,0,0
90,74,0,0,0
40,90,0,0,0
21,40,0,0,0
44,21,0,0,0
9,44,0,0,0
69,9,0,0,0
55,69,0,0,0
5,55,0,0,0
33,5,0,0,0
8,33,0,0,0
26,8,0,0,0
50,26,0,0,0
34,50,0,0,0
67,34,0,0,0
53,67,0,0,0
41,53,0,0,0
77,41,0,0,0
63,77,0,0,0
3,63,0,0,0
84,3,0,0,0
71,84,0,0,0
86,71,0,0,0
2,86,0,0,0
47,2,0,0,0
65,47,0,0,0
14,65,0,0,0
76,14,0,0,0
66,76,0,0,0
99,66,0,0,0
13,99,0,0,0
31,13,0,0,0
15,31,0,0,0
98,15,0,0,0
80,98,0,0,0
41,80,0,0,0
89,41,0,0,0
45,89,0,0,0
60,45,0,0,0
37,60,0,0,0
19,37,0,0,0
95,19,0,0,0
44,95,0,0,0
30,44,0,0,0
73,30,0,0,0
8,73,0,0,0
23,8,0,0,0
63,23,0,0,0
48,63,0,0,0
64,48,0,0,0
42,64,0,0,0
67,42,0,0,0
81,67,0,0,0
96,81,0,0,0
35,96,0,0,0
10,35,0,0,0
93,10,0,0,0
32,93,0,0,0
11,32,0,0,0
26,11,0,0,0
58,26,0,0,0
43,58,0,0,0
25,43,0,0,0
79,25,0,0,0
4,79,0,0,0
38,4,0,0,0
76,38,0,0,0
65,76,0,0,0
1,65,0,0,0
39,1,0,0,0
23,39,0,0,0
89,23,0,0,0
77,89,0,0,0
62,77,0,0,0
7,62,0,0,0
24,7,0,0,0
98,24,0,0,0
14,98,0,0,0
28,14,0,0,0
59,28,0,0,0
73,59,0,0,0
82,73,0,0,0
51,82,0,0,0
93,51,0,0,0
20,93,0,0,0
54,20,0,0,0
40,54,0,0,0
18,40,0,0,0
99,18,0,0,0
68,99,0,0,0
52,68,0,0,0
73,52,0,0,0
83,73,0,0,0
33,83,0,0,0
52,33,0,0,0
87,52,0,0,0
30,87,0,0,0
97,30,0,0,0
80,97,0,0,0
2,80,0,0,0
18,2,0,0,0
34,18,0,0,0
3,34,0,0,0
85,3,0,0,0
70,85,0,0,0
55,70,0,0,0
39,55,0,0,0
92,39,0,0,0
11,92,0,0,0
29,11,0,0,0
46,29,0,0,0
16,46,0,0,0
62,16,0,0,0
36,62,0,0,0
78,36,0,0,0
98,78,0,0,0
64,98,0,0,0
76,64,0,0,0
90,76,0,0,0
10,90,0,0,0
33,10,0,0,0
72,33,0,0,0
5,72,0,0,0
63,5,0,0,0
45,63,0,0,0
94,45,0,0,0
26,94,0,0,0
52,26,0,0,0
71,52,0,0,0
40,71,0,0,0
22,40,0,0,0
4,22,0,0,0
83,4,0,0,0
72,83,0,0,0
55,72,0,0,0
17,55,0,0,0
41,17,0,0,0
95,41,0,0,0
16,95,0,0,0
60,16,0,0,0
43,60,0,0,0
6,43,0,0,0
29,6,0,0,0
48,29,0,0,0
81,48,0,0,0
0,81,0,0,0
56,0,0,0,0
39,56,0,0,0
21,39,0,0,0
89,21,0,0,0
48,89,0,0,0
91,48,0,0,0
74,91,0,0,0
59,74,0,0,0
42,59,0,0,0
76,42,0,0,0
63,76,0,0,0
14,63,0,0,0
86,14,0,0,0
45,86,0,0,0
66,45,0,0,0
79,66,0,0,0
12,79,0,0,0
72,12,0,0,0
84,72,0,0,0
20,84,0,0,0
94,20,0,0,0
13,94,0,0,0
29,13,0,0,0
54,29,0,0,0
11,54,0,0,0
88,11,0,0,0
74,88,0,0,0
58,74,0,0,0
92,58,0,0,0
36,92,0,0,0
19,36,0,0,0
49,19,0,0,0
27,49,0,0,0
80,27,0,0,0
68,80,0,0,0
49,68,0,0,0
71,49,0,0,0
26,71,0,0,0
44,26,0,0,0
19,44,0,0,0
1,19,0,0,0
28,1,0,0,0
47,28,0,0,0
82,47,0,0,0
70,82,0,0,0
53,70,0,0,0
12,53,0,0,0
90,12,0,0,0
75,90,0,0,0
93,75,0,0,0
46,93,0,0,0
8,46,0,0,0
37,8,0,0,0
12,37,0,0,0
86,12,0,0,0
71,86,0,0,0
14,71,0,0,0
51,14,0,0,0
69,51,0,0,0
34,69,0,0,0
7,34,0,0,0
27,7,0,0,0
92,27,0,0,0
56,92,0,0,0
2,56,0,0,0
40,2,0,0,0
66,40,0,0,0
0,66,0,0,0
62,0,0,0,0
77,62,0,0,0
38,77,0,0,0
7,38,0,0,0
55,7,0,0,0
27,55,0,0,0
10,27,0,0,0
30,10,0,0,0
94,30,0,0,0
77,94,0,0,0
95,77,0,0,0
57,95,0,0,0
39,57,0,0,0
58,39,0,0,0
1,58,0,0,0
82,1,0,0,0
24,82,0,0,0
46,24,0,0,0
83,46,0,0,0
23,83,0,0,0
3,23,0,0,0
68,3,0,0,0
35,68,0,0,0
17,35,0,0,0
85,17,0,0,0
