p1,p2,R,G,B
106,131,255,130,0
131,26,255,130,0
26,92,255,130,0
92,60,255,130,0
60,111,255,130,0
111,14,255,130,0
14,126,255,130,0
126,1,255,130,0
1,77,255,130,0
77,131,255,130,0
131,100,255,130,0
100,110,255,130,0
110,49,255,130,0
49,82,255,130,0
82,30,255,130,0
30,72,255,130,0
72,28,255,130,0
28,96,255,130,0
96,61,255,130,0
61,101,255,130,0
101,19,255,130,0
19,80,255,130,0
80,102,255,130,0
102,40,255,130,0
40,115,255,130,0
115,101,255,130,0
101,34,255,130,0
34,112,255,130,0
112,48,255,130,0
48,103,255,130,0
103,16,255,130,0
16,123,255,130,0
123,144,255,130,0
144,73,255,130,0
73,22,255,130,0
22,97,255,130,0
97,66,255,130,0
66,6,255,130,0
6,110,255,130,0
110,69,255,130,0
69,2,255,130,0
2,122,255,130,0
122,148,255,130,0
148,124,255,130,0
124,5,255,130,0
5,103,255,130,0
103,144,255,130,0
144,68,255,130,0
68,20,255,130,0
20,129,255,130,0
129,50,255,130,0
50,88,255,130,0
88,112,255,130,0
112,81,255,130,0
81,118,255,130,0
118,53,255,130,0
53,133,255,130,0
133,114,255,130,0
114,83,255,130,0
83,34,255,130,0
34,130,255,130,0
130,88,255,130,0
88,142,255,130,0
142,51,255,130,0
51,87,255,130,0
87,125,255,130,0
125,10,255,130,0
10,83,255,130,0
83,27,255,130,0
20,20,220,0,0
20,103,220,0,0
103,106,220,0,0
106,36,220,0,0
36,102,220,0,0
102,107,220,0,0
107,64,220,0,0
64,109,220,0,0
109,104,220,0,0
104,119,220,0,0
119,55,220,0,0
55,133,220,0,0
133,47,220,0,0
47,131,220,0,0
131,62,220,0,0
62,111,220,0,0
111,114,220,0,0
114,110,220,0,0
110,30,220,0,0
30,83,220,0,0
83,38,220,0,0
38,105,220,0,0
105,31,220,0,0
31,108,220,0,0
108,28,220,0,0
28,85,220,0,0
85,22,220,0,0
22,103,220,0,0
103,50,220,0,0
50,92,220,0,0
92,7,220,0,0
7,84,220,0,0
84,129,220,0,0
129,75,220,0,0
75,6,220,0,0
6,68,220,0,0
68,1,220,0,0
1,62,220,0,0
62,112,220,0,0
112,45,220,0,0
45,127,220,0,0
127,77,220,0,0
77,143,220,0,0
143,86,220,0,0
86,44,220,0,0
44,128,220,0,0
128,71,220,0,0
71,144,220,0,0
144,76,220,0,0
76,131,220,0,0
131,80,220,0,0
80,25,220,0,0
25,99,220,0,0
99,21,220,0,0
21,78,220,0,0
78,137,220,0,0
137,75,220,0,0
75,12,220,0,0
50,50,0,0,0
50,48,0,0,0
48,40,0,0,0
40,22,0,0,0
22,57,0,0,0
57,56,0,0,0
56,54,0,0,0
54,58,0,0,0
58,62,0,0,0
62,63,0,0,0
63,61,0,0,0
61,59,0,0,0
59,75,0,0,0
75,52,0,0,0
52,63,0,0,0
63,53,0,0,0
53,69,0,0,0
69,120,0,0,0
120,9,0,0,0
9,4,0,0,0
4,90,0,0,0
90,62,0,0,0
62,66,0,0,0
66,56,0,0,0
56,51,0,0,0
51,62,0,0,0
62,31,0,0,0
31,46,0,0,0
46,27,0,0,0
27,139,0,0,0
