p1,p2,R,G,B
57,218,251,253,253
211,57,251,253,253
41,211,251,253,253
215,41,251,253,253
140,215,251,253,253
216,140,251,253,253
39,216,251,253,253
214,39,251,253,253
44,214,251,253,253
182,44,251,253,253
84,182,251,253,253
8,84,251,253,253
170,8,251,253,253
88,170,251,253,253
163,88,251,253,253
60,163,251,253,253
168,60,251,253,253
92,168,251,253,253
16,92,251,253,253
89,16,251,253,253
186,89,251,253,253
93,186,251,253,253
208,93,251,253,253
131,208,251,253,253
6,131,251,253,253
169,6,251,253,253
57,169,251,253,253
160,57,251,253,253
42,160,251,253,253
179,42,251,253,253
22,179,251,253,253
122,22,251,253,253
35,122,251,253,253
195,35,251,253,253
109,195,251,253,253
2,109,251,253,253
150,2,251,253,253
242,150,251,253,253
154,242,251,253,253
1,154,251,253,253
162,1,251,253,253
64,162,251,253,253
159,64,251,253,253
69,159,251,253,253
165,69,251,253,253
34,165,251,253,253
193,34,251,253,253
69,193,251,253,253
194,69,251,253,253
68,194,251,253,253
174,68,251,253,253
93,174,251,253,253
202,93,251,253,253
52,202,251,253,253
153,52,251,253,253
46,153,251,253,253
205,46,251,253,253
128,205,251,253,253
231,128,251,253,253
99,231,251,253,253
23,99,251,253,253
126,23,251,253,253
31,126,251,253,253
121,31,251,253,253
227,121,251,253,253
120,227,251,253,253
18,120,251,253,253
90,18,251,253,253
13,90,251,253,253
112,13,251,253,253
17,112,251,253,253
139,17,251,253,253
212,139,251,253,253
55,212,251,253,253
204,55,251,253,253
49,204,251,253,253
151,49,251,253,253
222,151,251,253,253
150,222,251,253,253
223,150,251,253,253
147,223,251,253,253
52,147,251,253,253
198,52,251,253,253
114,198,251,253,253
11,114,251,253,253
132,11,251,253,253
3,132,251,253,253
127,3,251,253,253
120,120,0,166,86
115,120,0,166,86
110,115,0,166,86
105,110,0,166,86
100,105,0,166,86
125,100,0,166,86
120,125,0,166,86
115,120,0,166,86
139,115,0,166,86
134,139,0,166,86
129,134,0,166,86
124,129,0,166,86
119,124,0,166,86
114,119,0,166,86
109,114,0,166,86
221,109,0,166,86
15,221,0,166,86
28,15,0,166,86
23,28,0,166,86
18,23,0,166,86
27,18,0,166,86
45,27,0,166,86
77,45,0,166,86
71,77,0,166,86
66,71,0,166,86
88,66,0,166,86
189,88,0,166,86
170,189,0,166,86
95,170,0,166,86
138,95,0,166,86
219,138,0,166,86
40,219,0,166,86
35,40,0,166,86
85,35,0,166,86
80,85,0,166,86
75,80,0,166,86
70,75,0,166,86
83,70,0,166,86
77,83,0,166,86
71,77,0,166,86
66,71,0,166,86
61,66,0,166,86
143,61,0,166,86
149,143,0,166,86
93,149,0,166,86
238,93,0,166,86
233,238,0,166,86
228,233,0,166,86
234,228,0,166,86
240,234,0,166,86
246,240,0,166,86
241,246,0,166,86
236,241,0,166,86
1,236,0,166,86
196,1,0,166,86
191,196,0,166,86
186,191,0,166,86
181,186,0,166,86
14,181,0,166,86
56,14,0,166,86
99,56,0,166,86
126,99,0,166,86
8,126,0,166,86
182,8,0,166,86
177,182,0,166,86
172,177,0,166,86
167,172,0,166,86
162,167,0,166,86
220,162,0,166,86
226,220,0,166,86
25,226,0,166,86
36,25,0,166,86
9,36,0,166,86
54,9,0,166,86
47,54,0,166,86
42,47,0,166,86
37,42,0,166,86
53,37,0,166,86
69,53,0,166,86
64,69,0,166,86
212,64,0,166,86
207,212,0,166,86
202,207,0,166,86
196,202,0,166,86
155,196,0,166,86
150,155,0,166,86
157,150,0,166,86
127,157,0,166,86
122,127,0,166,86
117,122,0,166,86
112,117,0,166,86
107,112,0,166,86
102,107,0,166,86
97,102,0,166,86
130,97,0,166,86
136,130,0,166,86
142,136,0,166,86
148,142,0,166,86
212,148,0,166,86
207,212,0,166,86
202,207,0,166,86
196,202,0,166,86
191,196,0,166,86
186,191,0,166,86
181,186,0,166,86
176,181,0,166,86
171,176,0,166,86
166,171,0,166,86
161,166,0,166,86
156,161,0,166,86
150,156,0,166,86
5,150,0,166,86
228,5,0,166,86
223,228,0,166,86
229,223,0,166,86
248,229,0,166,86
243,248,0,166,86
238,243,0,166,86
0,238,0,166,86
245,0,0,166,86
2,245,0,166,86
13,2,0,166,86
8,13,0,166,86
147,8,0,166,86
132,147,0,166,86
127,132,0,166,86
98,127,0,166,86
105,98,0,166,86
118,105,0,166,86
124,118,0,166,86
130,124,0,166,86
23,130,0,166,86
87,23,0,166,86
81,87,0,166,86
75,81,0,166,86
68,75,0,166,86
54,68,0,166,86
17,54,0,166,86
41,17,0,166,86
49,41,0,166,86
94,49,0,166,86
142,94,0,166,86
136,142,0,166,86
130,136,0,166,86
124,130,0,166,86
119,124,0,166,86
112,119,0,166,86
107,112,0,166,86
102,107,0,166,86
97,102,0,166,86
104,97,0,166,86
42,104,0,166,86
172,42,0,166,86
215,172,0,166,86
28,215,0,166,86
18,28,0,166,86
180,18,0,166,86
175,180,0,166,86
170,175,0,166,86
233,170,0,166,86
7,233,0,166,86
60,7,0,166,86
146,60,0,166,86
187,146,0,166,86
212,187,0,166,86
86,212,0,166,86
60,86,0,166,86
89,60,0,166,86
7,89,0,166,86
223,7,0,166,86
22,223,0,166,86
38,22,0,166,86
51,38,0,166,86
72,51,0,166,86
79,72,0,166,86
214,79,0,166,86
208,214,0,166,86
202,208,0,166,86
196,202,0,166,86
191,196,0,166,86
185,191,0,166,86
214,185,0,166,86
85,214,0,166,86
67,85,0,166,86
58,67,0,166,86
148,58,0,166,86
174,148,0,166,86
208,174,0,166,86
228,208,0,166,86
159,228,0,166,86
165,159,0,166,86
171,165,0,166,86
177,171,0,166,86
184,177,0,166,86
190,184,0,166,86
2,190,0,166,86
225,2,0,166,86
231,225,0,166,86
205,231,0,166,86
200,205,0,166,86
195,200,0,166,86
210,195,0,166,86
202,210,0,166,86
196,202,0,166,86
191,196,0,166,86
158,191,0,166,86
96,158,0,166,86
137,96,0,166,86
143,137,0,166,86
150,143,0,166,86
157,150,0,166,86
163,157,0,166,86
92,163,0,166,86
57,92,0,166,86
7,57,0,166,86
150,7,0,166,86
143,150,0,166,86
137,143,0,166,86
102,137,0,166,86
147,102,0,166,86
153,147,0,166,86
159,153,0,166,86
165,159,0,166,86
171,165,0,166,86
47,171,0,166,86
23,47,0,166,86
4,23,0,166,86
234,4,0,166,86
243,234,0,166,86
0,243,0,166,86
9,0,0,166,86
190,9,0,166,86
14,190,0,166,86
44,14,0,166,86
81,44,0,166,86
69,81,0,166,86
87,69,0,166,86
42,87,0,166,86
31,42,0,166,86
93,31,0,166,86
246,93,0,166,86
230,246,0,166,86
238,230,0,166,86
114,238,0,166,86
108,114,0,166,86
103,108,0,166,86
135,103,0,166,86
97,135,0,166,86
157,97,0,166,86
218,157,0,166,86
177,218,0,166,86
184,177,0,166,86
215,184,0,166,86
126,215,0,166,86
120,126,0,166,86
127,120,0,166,86
61,127,0,166,86
48,61,0,166,86
170,48,0,166,86
149,170,0,166,86
144,149,0,166,86
138,144,0,166,86
131,138,0,166,86
16,131,0,166,86
55,16,0,166,86
35,55,0,166,86
17,35,0,166,86
187,17,0,166,86
206,187,0,166,86
200,206,0,166,86
193,200,0,166,86
186,193,0,166,86
180,186,0,166,86
173,180,0,166,86
179,173,0,166,86
44,179,0,166,86
28,44,0,166,86
89,28,0,166,86
65,89,0,166,86
45,65,0,166,86
63,45,0,166,86
74,63,0,166,86
23,74,0,166,86
216,23,0,166,86
165,216,0,166,86
171,165,0,166,86
94,171,0,166,86
234,94,0,166,86
249,234,0,166,86
241,249,0,166,86
13,241,0,166,86
103,13,0,166,86
119,103,0,166,86
112,119,0,166,86
105,112,0,166,86
24,105,0,166,86
249,24,0,166,86
227,249,0,166,86
240,227,0,166,86
90,240,0,166,86
207,90,0,166,86
200,207,0,166,86
193,200,0,166,86
186,193,0,166,86
161,186,0,166,86
153,161,0,166,86
147,153,0,166,86
226,147,0,166,86
6,226,0,166,86
243,6,0,166,86
234,243,0,166,86
16,234,0,166,86
42,16,0,166,86
82,42,0,166,86
72,82,0,166,86
81,72,0,166,86
102,81,0,166,86
114,102,0,166,86
140,114,0,166,86
229,140,0,166,86
207,229,0,166,86
175,207,0,166,86
167,175,0,166,86
161,167,0,166,86
96,161,0,166,86
178,96,0,166,86
136,178,0,166,86
130,136,0,166,86
124,130,0,166,86
101,124,0,166,86
120,101,0,166,86
113,120,0,166,86
142,113,0,166,86
136,142,0,166,86
130,136,0,166,86
122,130,0,166,86
116,122,0,166,86
108,116,0,166,86
127,108,0,166,86
119,127,0,166,86
111,119,0,166,86
145,111,0,166,86
197,145,0,166,86
205,197,0,166,86
179,205,0,166,86
19,179,0,166,86
77,19,0,166,86
69,77,0,166,86
56,69,0,166,86
15,56,0,166,86
224,15,0,166,86
241,224,0,166,86
248,241,0,166,86
13,248,0,166,86
220,13,0,166,86
154,220,0,166,86
162,154,0,166,86
94,162,0,166,86
148,94,0,166,86
131,148,0,166,86
26,131,0,166,86
222,26,0,166,86
191,222,0,166,86
199,191,0,166,86
180,199,0,166,86
167,180,0,166,86
160,167,0,166,86
188,160,0,166,86
85,188,0,166,86
61,85,0,166,86
88,61,0,166,86
33,88,0,166,86
48,33,0,166,86
166,48,0,166,86
215,166,0,166,86
77,215,0,166,86
52,77,0,166,86
38,52,0,166,86
219,38,0,166,86
30,219,0,166,86
98,30,0,166,86
153,98,0,166,86
165,153,0,166,86
173,165,0,166,86
186,173,0,166,86
19,186,0,166,86
161,19,0,166,86
141,161,0,166,86
95,141,0,166,86
54,95,0,166,86
29,54,0,166,86
10,29,0,166,86
92,10,0,166,86
32,92,0,166,86
68,32,0,166,86
84,68,0,166,86
40,84,0,166,86
20,40,0,166,86
232,20,0,166,86
145,232,0,166,86
164,145,0,166,86
187,164,0,166,86
172,187,0,166,86
211,172,0,166,86
80,211,0,166,86
103,80,0,166,86
199,103,0,166,86
190,199,0,166,86
231,190,0,166,86
1,231,0,166,86
135,1,0,166,86
122,135,0,166,86
116,122,0,166,86
126,116,0,166,86
99,126,0,166,86
132,99,0,166,86
113,132,0,166,86
123,113,0,166,86
103,123,0,166,86
143,103,0,166,86
100,143,0,166,86
151,100,0,166,86
90,151,0,166,86
202,90,0,166,86
225,202,0,166,86
29,225,0,166,86
138,29,0,166,86
0,138,0,166,86
238,0,0,166,86
15,238,0,166,86
225,15,0,166,86
7,225,0,166,86
49,7,0,166,86
70,49,0,166,86
84,70,0,166,86
62,84,0,166,86
78,62,0,166,86
66,78,0,166,86
88,66,0,166,86
206,88,0,166,86
157,206,0,166,86
195,157,0,166,86
207,195,0,166,86
26,207,0,166,86
55,26,0,166,86
94,55,0,166,86
4,94,0,166,86
192,4,0,166,86
213,192,0,166,86
152,213,0,166,86
166,152,0,166,86
181,166,0,166,86
164,181,0,166,86
218,164,0,166,86
135,218,0,166,86
30,135,0,166,86
57,30,0,166,86
106,57,0,166,86
21,106,0,166,86
223,21,0,166,86
245,223,0,166,86
232,245,0,166,86
95,232,0,166,86
167,95,0,166,86
151,167,0,166,86
123,151,0,166,86
98,123,0,166,86
155,98,0,166,86
212,155,0,166,86
194,212,0,166,86
204,194,0,166,86
58,204,0,166,86
91,58,0,166,86
159,91,0,166,86
97,159,0,166,86
136,97,0,166,86
120,136,0,166,86
107,120,0,166,86
128,107,0,166,86
149,128,0,166,86
232,149,0,166,86
204,232,0,166,86
190,204,0,166,86
169,190,0,166,86
54,169,0,166,86
36,54,0,166,86
11,36,0,166,86
245,11,0,166,86
232,245,0,166,86
93,232,0,166,86
145,93,0,166,86
226,145,0,166,86
184,226,0,166,86
198,184,0,166,86
236,198,0,166,86
3,236,0,166,86
240,3,0,166,86
20,240,0,166,86
107,20,0,166,86
140,107,0,166,86
163,140,0,166,86
211,163,0,166,86
189,211,0,166,86
172,189,0,166,86
150,172,0,166,86
105,150,0,166,86
34,105,0,166,86
86,34,0,166,86
46,86,0,166,86
10,46,0,166,86
221,10,0,166,86
22,221,0,166,86
134,22,0,166,86
2,134,0,166,86
222,2,0,166,86
8,222,0,166,86
37,8,0,166,86
88,37,0,166,86
191,88,0,166,86
137,191,0,166,86
71,137,0,166,86
54,71,0,166,86
32,54,0,166,86
52,32,0,166,86
221,52,0,166,86
46,221,0,166,86
63,46,0,166,86
