p1,p2,R,G,B
133,141,253,253,253
141,149,253,253,253
149,26,253,253,253
26,35,253,253,253
35,40,253,253,253
40,141,253,253,253
141,51,253,253,253
51,47,253,253,253
47,86,253,253,253
86,82,253,253,253
82,101,253,253,253
101,105,253,253,253
105,108,253,253,253
108,118,253,253,253
118,122,253,253,253
122,80,253,253,253
80,84,253,253,253
84,88,253,253,253
88,91,253,253,253
91,94,253,253,253
94,97,253,253,253
97,100,253,253,253
100,104,253,253,253
104,127,253,253,253
127,133,253,253,253
133,125,253,253,253
125,45,253,253,253
45,67,253,253,253
67,72,253,253,253
72,77,253,253,253
77,53,253,253,253
53,79,253,253,253
79,107,253,253,253
107,67,253,253,253
67,52,253,253,253
52,21,253,253,253
21,0,253,253,253
0,140,253,253,253
140,117,253,253,253
117,113,253,253,253
113,109,253,253,253
109,105,253,253,253
105,101,253,253,253
101,98,253,253,253
98,95,253,253,253
95,91,253,253,253
91,121,253,253,253
121,57,253,253,253
57,63,253,253,253
63,72,253,253,253
72,84,253,253,253
84,51,253,253,253
51,25,253,253,253
25,15,253,253,253
15,107,253,253,253
107,92,253,253,253
92,28,253,253,253
28,49,253,253,253
49,42,253,253,253
42,33,253,253,253
33,15,253,253,253
15,135,253,253,253
135,124,253,253,253
124,120,253,253,253
120,144,253,253,253
144,3,253,253,253
3,74,253,253,253
74,78,253,253,253
78,71,253,253,253
71,80,253,253,253
80,29,253,253,253
29,20,253,253,253
20,9,253,253,253
9,88,253,253,253
88,137,253,253,253
137,97,253,253,253
97,109,253,253,253
109,114,253,253,253
114,135,253,253,253
135,145,253,253,253
145,87,253,253,253
87,91,253,253,253
91,96,253,253,253
96,101,253,253,253
101,63,253,253,253
63,57,253,253,253
57,26,253,253,253
26,18,253,253,253
18,31,253,253,253
31,39,253,253,253
39,12,253,253,253
12,52,253,253,253
52,124,253,253,253
124,119,253,253,253
119,126,253,253,253
126,106,253,253,253
106,102,253,253,253
102,60,253,253,253
60,133,253,253,253
133,125,253,253,253
125,117,253,253,253
117,107,253,253,253
107,103,253,253,253
103,98,253,253,253
98,87,253,253,253
87,65,253,253,253
65,55,253,253,253
55,48,253,253,253
48,36,253,253,253
36,142,253,253,253
142,88,253,253,253
88,83,253,253,253
83,111,253,253,253
111,115,253,253,253
115,4,253,253,253
4,15,253,253,253
15,50,253,253,253
50,59,253,253,253
59,47,253,253,253
47,145,253,253,253
145,32,253,253,253
32,78,253,253,253
78,66,253,253,253
66,81,253,253,253
81,131,253,253,253
131,141,253,253,253
141,10,253,253,253
10,123,253,253,253
123,138,253,253,253
138,43,253,253,253
43,34,253,253,253
34,52,253,253,253
52,81,253,253,253
81,91,253,253,253
91,95,253,253,253
95,74,253,253,253
74,54,253,253,253
54,66,253,253,253
66,93,253,253,253
93,89,253,253,253
89,112,253,253,253
112,141,253,253,253
141,37,253,253,253
37,47,253,253,253
47,56,253,253,253
56,139,253,253,253
139,1,253,253,253
1,71,253,253,253
71,16,253,253,253
16,80,253,253,253
80,69,253,253,253
69,46,253,253,253
46,30,253,253,253
30,5,253,253,253
5,143,253,253,253
143,4,253,253,253
4,32,253,253,253
32,117,253,253,253
117,89,253,253,253
89,96,253,253,253
96,149,253,253,253
149,126,253,253,253
126,20,253,253,253
20,10,253,253,253
10,19,253,253,253
19,31,253,253,253
31,23,253,253,253
23,30,253,253,253
30,44,253,253,253
44,87,253,253,253
87,110,253,253,253
110,116,253,253,253
116,129,253,253,253
129,137,253,253,253
137,38,253,253,253
38,102,253,253,253
102,108,253,253,253
108,7,253,253,253
7,142,253,253,253
142,129,253,253,253
