p1,p2,R,G,B
27,50,226,216,201
50,91,226,216,201
91,7,226,216,201
7,135,226,216,201
135,113,226,216,201
113,34,226,216,201
34,1,226,216,201
1,137,226,216,201
137,37,226,216,201
37,0,226,216,201
0,101,226,216,201
101,59,226,216,201
59,23,226,216,201
23,60,226,216,201
60,82,226,216,201
82,65,226,216,201
65,36,226,216,201
36,58,226,216,201
58,3,226,216,201
3,136,226,216,201
136,90,226,216,201
90,98,226,216,201
98,71,226,216,201
71,66,226,216,201
66,70,226,216,201
70,64,226,216,201
64,46,226,216,201
46,83,226,216,201
83,62,226,216,201
62,26,226,216,201
26,49,226,216,201
49,145,226,216,201
145,104,226,216,201
104,71,226,216,201
71,66,226,216,201
66,30,226,216,201
30,137,226,216,201
137,1,226,216,201
1,131,226,216,201
131,20,226,216,201
20,148,226,216,201
148,110,226,216,201
110,21,226,216,201
21,53,226,216,201
53,7,226,216,201
7,135,226,216,201
135,36,226,216,201
36,71,226,216,201
71,66,226,216,201
66,70,226,216,201
70,63,226,216,201
63,81,226,216,201
81,74,226,216,201
74,80,226,216,201
80,73,226,216,201
73,78,226,216,201
78,107,226,216,201
107,9,226,216,201
9,89,226,216,201
137,137,49,24,15
137,48,49,24,15
48,73,49,24,15
73,46,49,24,15
46,3,49,24,15
3,142,49,24,15
142,145,49,24,15
145,143,49,24,15
143,146,49,24,15
146,142,49,24,15
142,145,49,24,15
145,141,49,24,15
141,138,49,24,15
138,140,49,24,15
140,139,49,24,15
139,141,49,24,15
141,138,49,24,15
138,22,49,24,15
22,75,49,24,15
75,115,49,24,15
115,33,49,24,15
33,36,49,24,15
36,32,49,24,15
32,122,49,24,15
122,133,49,24,15
133,134,49,24,15
134,132,49,24,15
132,37,49,24,15
37,31,49,24,15
31,86,49,24,15
86,84,49,24,15
84,87,49,24,15
87,85,49,24,15
85,89,49,24,15
89,71,49,24,15
71,107,49,24,15
107,109,49,24,15
109,110,49,24,15
110,108,49,24,15
108,111,49,24,15
111,109,49,24,15
109,110,49,24,15
110,108,49,24,15
108,111,49,24,15
111,107,49,24,15
107,110,49,24,15
110,108,49,24,15
108,111,49,24,15
111,107,49,24,15
107,110,49,24,15
110,108,49,24,15
108,111,49,24,15
111,109,49,24,15
109,95,49,24,15
95,91,49,24,15
91,93,49,24,15
93,92,49,24,15
92,95,49,24,15
95,91,49,24,15
91,93,49,24,15
93,92,49,24,15
92,95,49,24,15
95,91,49,24,15
91,93,49,24,15
93,96,49,24,15
96,15,49,24,15
15,116,49,24,15
116,65,49,24,15
65,136,49,24,15
