x1,y1,x2,y2
143,476,365,28
365,28,197,495
197,495,66,82
66,82,493,313
493,313,232,500
232,500,432,78
432,78,438,416
438,416,40,386
40,386,164,16
164,16,150,479
150,479,463,382
463,382,375,34
375,34,406,446
406,446,351,22
351,22,350,480
350,480,55,406
55,406,70,77
70,77,479,148
479,148,15,166
15,166,114,460
114,460,434,420
434,420,97,53
97,53,474,138
474,138,345,482
345,482,39,117
39,117,498,213
498,213,2,222
2,222,496,202
496,202,375,467
375,467,16,337
16,337,194,7
194,7,316,492
316,492,276,2
276,2,3,216
3,216,191,493
191,493,130,31
130,31,182,491
182,491,1,240
1,240,288,498
288,498,294,4
294,4,468,374
468,374,73,426
73,426,477,356
477,356,344,19
344,19,348,481
348,481,453,104
453,104,39,118
39,118,429,76
429,76,12,176
12,176,391,457
391,457,404,53
404,53,337,485
337,485,45,392
45,392,67,81
67,81,123,466
123,466,423,432
423,432,458,111
458,111,27,138
27,138,76,429
76,429,499,276
499,276,9,314
9,314,157,19
157,19,6,300
6,300,500,263
500,263,1,249
1,249,499,224
499,224,341,484
341,484,28,364
28,364,150,22
150,22,5,296
5,296,500,260
500,260,300,6
300,6,294,497
294,497,16,164
16,164,475,141
475,141,82,66
82,66,127,468
127,468,395,455
395,455,485,163
485,163,4,208
4,208,491,181
491,181,8,190
8,190,111,458
111,458,464,380
464,380,26,360
26,360,494,305
494,305,11,322
11,322,404,448
404,448,413,61
413,61,39,117
39,117,104,453
104,453,466,378
466,378,22,351
22,351,356,477
356,477,138,27
138,27,473,136
473,136,24,145
24,145,418,65
418,65,417,437
417,437,3,287
3,287,491,320
491,320,357,24
357,24,196,494
196,494,458,390
458,390,176,489
176,489,169,14
169,14,158,483
158,483,500,265
500,265,66,419
66,419,105,47
105,47,497,210
497,210,276,499
276,499,461,115
461,115,443,410
443,410,441,89
441,89,100,51
100,51,411,59
411,59,41,114
41,114,383,39
383,39,210,497
210,497,372,32
372,32,43,111
43,111,113,459
113,459,130,31
130,31,136,473
136,473,415,439
415,439,356,24
356,24,485,338
485,338,241,500
241,500,498,287
498,287,227,499
227,499,399,49
399,49,274,499
274,499,496,202
496,202,1,241
1,241,235,500
235,500,486,335
486,335,31,370
31,370,67,81
67,81,22,351
22,351,208,4
208,4,101,451
101,451,6,197
6,197,204,496
204,496,1,263
1,263,500,230
500,230,26,360
26,360,148,22
148,22,4,290
4,290,140,26
140,26,2,274
2,274,193,494
193,494,354,23
354,23,47,105
47,105,344,19
344,19,187,492
187,492,7,305
7,305,175,12
175,12,471,133
471,133,450,401
450,401,466,123
466,123,429,425
429,425,435,82
435,82,31,131
31,131,88,440
88,440,390,458
390,458,483,158
483,158,5,205
5,205,268,1
268,1,497,208
497,208,337,485
337,485,61,413
61,413,320,491
320,491,365,28
365,28,493,313
493,313,101,451
101,451,127,33
127,33,2,274
2,274,492,185
492,185,258,500
258,500,481,348
481,348,351,22
351,22,193,494
193,494,191,8
191,8,15,334
15,334,384,462
384,462,402,52
402,52,104,48
104,48,1,272
1,272,469,129
469,129,181,10
181,10,185,492
185,492,294,4
294,4,2,224
2,224,96,447
96,447,351,479
351,479,500,236
500,236,378,466
378,466,38,382
38,382,288,498
288,498,227,2
227,2,5,204
5,204,88,440
88,440,498,285
498,285,25,358
25,358,499,227
499,227,1,230
1,230,425,72
425,72,13,173
13,173,486,166
486,166,455,395
455,395,478,147
478,147,11,179
11,179,252,1
252,1,498,216
498,216,395,455
395,455,145,477
145,477,491,320
491,320,202,496
202,496,475,140
475,140,166,15
166,15,11,323
11,323,178,490
178,490,2,280
2,280,500,238
500,238,64,417
64,417,22,150
22,150,463,119
463,119,357,477
357,477,498,287
498,287,372,32
372,32,109,45
109,45,399,49
399,49,224,499
224,499,448,404
448,404,450,100
450,100,76,72
76,72,61,413
61,413,19,157
19,157,475,140
475,140,88,61
88,61,418,65
418,65,31,131
31,131,310,493
310,493,67,420
67,420,495,201
495,201,277,2
277,2,489,175
489,175,18,343
18,343,205,5
205,5,99,449
99,449,480,350
480,350,9,314
9,314,65,83
65,83,493,191
493,191,3,214
3,214,60,412
60,412,392,456
392,456,501,251
501,251,4,294
4,294,469,372
469,372,279,499
279,499,477,357
477,357,271,500
271,500,44,391
44,391,422,433
422,433,424,70
424,70,14,170
14,170,249,1
249,1,25,143
25,143,73,426
73,426,500,272
500,272,8,311
8,311,251,501
251,501,481,348
481,348,4,293
4,293,158,483
158,483,386,461
386,461,478,147
478,147,76,72
76,72,497,294
497,294,367,29
367,29,113,42
113,42,344,19
344,19,125,35
125,35,1,251
1,251,429,76
429,76,82,66
82,66,85,438
85,438,288,498
288,498,453,397
453,397,32,372
32,372,316,492
316,492,443,91
443,91,238,500
238,500,406,55
406,55,43,111
43,111,364,28
364,28,143,25
143,25,341,17
341,17,49,102
49,102,134,472
134,472,428,426
428,426,499,222
499,222,1,246
1,246,84,437
84,437,33,127
33,127,416,63
416,63,91,58
91,58,254,500
254,500,484,160
484,160,282,2
282,2,472,134
472,134,101,50
101,50,383,39
383,39,500,272
500,272,402,449
402,449,145,477
145,477,343,483
343,483,454,105
454,105,1,272
1,272,433,79
433,79,277,499
277,499,10,181
10,181,490,178
490,178,462,384
462,384,293,497
293,497,499,222
499,222,22,148
22,148,45,392
45,392,251,501
251,501,69,423
69,423,5,202
5,202,265,1
265,1,8,191
8,191,172,13
172,13,334,15
334,15,150,22
150,22,141,475
141,475,363,27
363,27,313,493
313,493,191,8
191,8,328,13
328,13,474,363
474,363,106,455
106,455,433,422
433,422,485,163
485,163,365,473
365,473,479,148
479,148,213,498
213,498,1,257
1,257,61,413
61,413,14,170
14,170,166,15
166,15,173,488
173,488,22,351
22,351,20,154
20,154,424,70
424,70,2,227
2,227,493,310
493,310,90,442
90,442,125,35
125,35,396,47
396,47,500,254
500,254,437,417
437,417,500,238
500,238,404,448
404,448,51,401
51,401,2,221
2,221,291,4
291,4,467,126
467,126,214,3
214,3,44,110
44,110,489,175
489,175,404,448
404,448,114,460
114,460,35,125
35,125,232,1
232,1,499,222
499,222,376,466
376,466,380,37
380,37,216,498
216,498,384,462
384,462,182,491
182,491,175,12
175,12,364,28
364,28,12,325
12,325,456,392
456,392,500,272
500,272,70,424
70,424,500,244
500,244,41,387
41,387,1,236
1,236,121,37
121,37,2,219
2,219,495,199
495,199,372,469
372,469,197,495
197,495,492,316
492,316,407,445
407,445,10,317
10,317,185,492
185,492,341,17
341,17,218,3
218,3,285,498
285,498,411,59
411,59,95,55
95,55,4,211
4,211,493,188
493,188,58,410
58,410,470,131
470,131,483,343
483,343,436,83
436,83,341,484
341,484,107,455
107,455,272,500
272,500,65,418
65,418,7,305
7,305,61,88
