p1,p2,R,G,B
37,55,12,16,50
55,4,12,16,50
4,119,12,16,50
119,11,12,16,50
11,122,12,16,50
122,44,12,16,50
44,23,12,16,50
23,69,12,16,50
69,85,12,16,50
85,67,12,16,50
67,49,12,16,50
49,124,12,16,50
124,73,12,16,50
73,6,12,16,50
6,113,12,16,50
113,63,12,16,50
63,47,12,16,50
47,29,12,16,50
29,101,12,16,50
101,10,12,16,50
10,32,12,16,50
32,51,12,16,50
51,69,12,16,50
69,88,12,16,50
88,106,12,16,50
106,87,12,16,50
102,63,175,30,46
63,30,175,30,46
30,69,175,30,46
69,105,175,30,46
105,20,175,30,46
20,62,175,30,46
62,95,175,30,46
95,60,175,30,46
60,17,175,30,46
17,105,175,30,46
105,65,175,30,46
65,25,175,30,46
25,59,175,30,46
59,99,175,30,46
99,12,175,30,46
12,97,175,30,46
97,61,175,30,46
61,24,175,30,46
24,110,175,30,46
110,27,175,30,46
27,67,175,30,46
67,33,175,30,46
33,70,175,30,46
70,36,175,30,46
36,124,175,30,46
124,80,175,30,46
80,115,175,30,46
115,83,175,30,46
83,49,175,30,46
49,10,175,30,46
10,43,175,30,46
43,76,175,30,46
76,119,175,30,46
119,86,175,30,46
86,123,175,30,46
123,88,175,30,46
88,51,175,30,46
51,7,175,30,46
7,45,175,30,46
45,81,175,30,46
81,112,175,30,46
112,68,175,30,46
68,108,175,30,46
108,19,175,30,46
19,53,175,30,46
53,90,175,30,46
90,5,175,30,46
5,45,175,30,46
45,9,175,30,46
9,54,175,30,46
54,16,175,30,46
16,106,175,30,46
106,64,175,30,46
64,101,175,30,46
101,61,175,30,46
61,19,175,30,46
19,56,175,30,46
56,92,175,30,46
92,58,175,30,46
58,18,175,30,46
18,60,175,30,46
68,78,254,254,254
78,8,254,254,254
8,103,254,254,254
103,93,254,254,254
93,107,254,254,254
107,62,254,254,254
62,40,254,254,254
40,28,254,254,254
28,17,254,254,254
17,44,254,254,254
44,34,254,254,254
34,57,254,254,254
57,10,254,254,254
10,96,254,254,254
96,84,254,254,254
84,61,254,254,254
61,114,254,254,254
114,53,254,254,254
53,75,254,254,254
75,85,254,254,254
85,112,254,254,254
112,57,254,254,254
57,79,254,254,254
79,90,254,254,254
90,103,254,254,254
103,91,254,254,254
91,34,254,254,254
34,8,254,254,254
8,32,254,254,254
32,18,254,254,254
18,45,254,254,254
45,124,254,254,254
124,63,254,254,254
63,86,254,254,254
86,111,254,254,254
111,13,254,254,254
13,26,254,254,254
26,95,254,254,254
95,29,254,254,254
29,15,254,254,254
15,70,254,254,254
70,118,254,254,254
118,43,254,254,254
43,65,254,254,254
65,88,254,254,254
88,112,254,254,254
112,87,254,254,254
87,114,254,254,254
114,67,254,254,254
67,91,254,254,254
91,35,254,254,254
35,9,254,254,254
9,109,254,254,254
109,47,254,254,254
47,0,254,254,254
0,78,254,254,254
78,104,254,254,254
104,90,254,254,254
90,35,254,254,254
35,21,254,254,254
21,47,254,254,254
47,69,254,254,254
69,93,254,254,254
93,25,254,254,254
25,50,254,254,254
50,72,254,254,254
72,9,254,254,254
9,36,254,254,254
36,89,254,254,254
89,32,254,254,254
32,55,254,254,254
55,7,254,254,254
7,82,254,254,254
82,60,254,254,254
60,38,254,254,254
38,94,254,254,254
94,70,254,254,254
87,35,12,16,50
35,13,12,16,50
13,32,12,16,50
32,91,12,16,50
91,108,12,16,50
108,86,12,16,50
86,105,12,16,50
105,83,12,16,50
83,65,12,16,50
65,116,12,16,50
116,2,12,16,50
2,61,12,16,50
61,118,12,16,50
118,12,12,16,50
12,62,12,16,50
62,46,12,16,50
46,64,12,16,50
64,122,12,16,50
122,47,12,16,50
47,29,12,16,50
29,12,12,16,50
12,121,12,16,50
121,53,12,16,50
53,35,12,16,50
35,86,12,16,50
86,67,12,16,50
67,121,12,16,50
121,43,12,16,50
43,58,12,16,50
58,76,12,16,50
76,96,12,16,50
96,24,12,16,50
24,45,12,16,50
45,121,12,16,50
121,65,12,16,50
65,7,12,16,50
7,117,12,16,50
117,5,12,16,50
5,81,12,16,50
81,102,12,16,50
102,9,12,16,50
9,30,12,16,50
30,11,12,16,50
11,112,12,16,50
112,4,12,16,50
4,60,12,16,50
60,42,12,16,50
42,22,12,16,50
22,43,12,16,50
43,120,12,16,50
120,62,12,16,50
62,80,12,16,50
80,99,12,16,50
99,26,12,16,50
26,46,12,16,50
46,64,12,16,50
64,82,12,16,50
82,5,12,16,50
5,111,12,16,50
111,9,12,16,50
9,100,12,16,50
100,79,12,16,50
79,61,12,16,50
61,3,12,16,50
3,56,12,16,50
56,74,12,16,50
74,93,12,16,50
93,34,12,16,50
60,98,175,30,46
98,59,175,30,46
59,16,175,30,46
16,53,175,30,46
53,87,175,30,46
87,3,175,30,46
3,36,175,30,46
36,73,175,30,46
73,40,175,30,46
40,0,175,30,46
0,84,175,30,46
84,120,175,30,46
120,85,175,30,46
85,124,175,30,46
124,81,175,30,46
81,47,175,30,46
47,13,175,30,46
13,49,175,30,46
49,5,175,30,46
5,41,175,30,46
41,124,175,30,46
124,38,175,30,46
38,2,175,30,46
2,46,175,30,46
46,82,175,30,46
82,122,175,30,46
122,80,175,30,46
80,113,175,30,46
113,75,175,30,46
75,120,175,30,46
120,76,175,30,46
76,110,175,30,46
110,70,175,30,46
70,114,175,30,46
114,74,175,30,46
74,110,175,30,46
110,22,175,30,46
22,63,175,30,46
63,103,175,30,46
103,62,175,30,46
62,23,175,30,46
23,64,175,30,46
64,28,175,30,46
28,67,175,30,46
67,109,175,30,46
109,66,175,30,46
66,29,175,30,46
29,68,175,30,46
68,32,175,30,46
32,70,175,30,46
70,111,175,30,46
111,73,175,30,46
73,115,175,30,46
115,78,175,30,46
78,42,175,30,46
42,8,175,30,46
8,51,175,30,46
51,87,175,30,46
87,50,175,30,46
50,12,175,30,46
12,56,175,30,46
70,6,254,254,254
6,31,254,254,254
31,16,254,254,254
16,30,254,254,254
30,54,254,254,254
54,6,254,254,254
6,75,254,254,254
75,100,254,254,254
100,32,254,254,254
32,88,254,254,254
88,33,254,254,254
33,7,254,254,254
7,67,254,254,254
67,13,254,254,254
13,40,254,254,254
40,121,254,254,254
121,73,254,254,254
73,98,254,254,254
98,28,254,254,254
28,96,254,254,254
96,30,254,254,254
30,97,254,254,254
97,27,254,254,254
27,94,254,254,254
94,39,254,254,254
39,12,254,254,254
12,110,254,254,254
110,83,254,254,254
83,109,254,254,254
109,82,254,254,254
82,21,254,254,254
21,84,254,254,254
84,111,254,254,254
111,85,254,254,254
85,10,254,254,254
10,37,254,254,254
37,92,254,254,254
92,35,254,254,254
35,58,254,254,254
58,123,254,254,254
123,64,254,254,254
64,4,254,254,254
4,52,254,254,254
52,115,254,254,254
115,61,254,254,254
61,1,254,254,254
1,48,254,254,254
48,118,254,254,254
118,57,254,254,254
57,120,254,254,254
120,72,254,254,254
72,16,254,254,254
16,43,254,254,254
43,105,254,254,254
105,42,254,254,254
42,15,254,254,254
15,77,254,254,254
77,103,254,254,254
103,42,254,254,254
42,117,254,254,254
117,69,254,254,254
69,5,254,254,254
5,76,254,254,254
76,6,254,254,254
6,68,254,254,254
68,4,254,254,254
4,65,254,254,254
65,0,254,254,254
0,60,254,254,254
60,120,254,254,254
120,50,254,254,254
50,121,254,254,254
121,56,254,254,254
56,120,254,254,254
120,59,254,254,254
59,122,254,254,254
122,62,254,254,254
62,0,254,254,254
34,12,12,16,50
12,33,12,16,50
33,11,12,16,50
11,113,12,16,50
113,7,12,16,50
7,111,12,16,50
111,3,12,16,50
3,59,12,16,50
59,0,12,16,50
0,69,12,16,50
69,51,12,16,50
51,32,12,16,50
32,10,12,16,50
10,31,12,16,50
31,95,12,16,50
95,75,12,16,50
75,1,12,16,50
1,53,12,16,50
53,71,12,16,50
71,90,12,16,50
90,109,12,16,50
109,87,12,16,50
87,68,12,16,50
68,1,12,16,50
1,56,12,16,50
56,38,12,16,50
38,89,12,16,50
89,109,12,16,50
109,87,12,16,50
87,8,12,16,50
8,28,12,16,50
28,48,12,16,50
48,66,12,16,50
66,123,12,16,50
123,70,12,16,50
70,2,12,16,50
2,76,12,16,50
76,58,12,16,50
58,40,12,16,50
40,19,12,16,50
19,41,12,16,50
41,119,12,16,50
119,17,12,16,50
17,39,12,16,50
39,118,12,16,50
118,37,12,16,50
37,14,12,16,50
14,36,12,16,50
36,87,12,16,50
87,107,12,16,50
107,85,12,16,50
85,106,12,16,50
106,84,12,16,50
84,6,12,16,50
6,111,12,16,50
111,8,12,16,50
8,27,12,16,50
27,98,12,16,50
98,78,12,16,50
78,3,12,16,50
3,79,12,16,50
79,100,12,16,50
100,28,12,16,50
28,48,12,16,50
48,123,12,16,50
123,50,12,16,50
50,124,12,16,50
124,57,12,16,50
57,0,12,16,50
56,14,175,30,46
14,55,175,30,46
55,15,175,30,46
15,58,175,30,46
58,96,175,30,46
96,57,175,30,46
57,13,175,30,46
13,56,175,30,46
56,93,175,30,46
93,55,175,30,46
55,11,175,30,46
11,48,175,30,46
48,4,175,30,46
4,46,175,30,46
46,8,175,30,46
8,44,175,30,46
44,1,175,30,46
1,39,175,30,46
39,123,175,30,46
123,79,175,30,46
79,117,175,30,46
117,72,175,30,46
72,37,175,30,46
37,74,175,30,46
74,39,175,30,46
39,76,175,30,46
76,112,175,30,46
112,78,175,30,46
78,118,175,30,46
118,73,175,30,46
73,112,175,30,46
112,75,175,30,46
75,115,175,30,46
115,71,175,30,46
71,113,175,30,46
113,69,175,30,46
69,111,175,30,46
111,68,175,30,46
68,112,175,30,46
112,72,175,30,46
72,116,175,30,46
116,74,175,30,46
74,119,175,30,46
119,77,175,30,46
77,121,175,30,46
121,83,175,30,46
83,1,175,30,46
1,84,175,30,46
84,48,175,30,46
48,6,175,30,46
6,51,175,30,46
51,10,175,30,46
10,50,175,30,46
50,8,175,30,46
8,53,175,30,46
53,9,175,30,46
9,52,175,30,46
52,7,175,30,46
7,47,175,30,46
47,3,175,30,46
3,43,175,30,46
43,0,175,30,46
